StationID,Lat,Long,StationName,Type
501,53.052300,-117.318800,Altalink 501l,PAW
58L,51.034900,-115.047900,Altalink 58l,PAW
603,49.641200,-113.492700,Altalink 603l Windy Flats,PAW
616,49.515000,-113.923300,Altalink 616l,PAW
722,49.670600,-111.493600,Altalink 722l,PAW
723,54.155200,-114.471100,Altalink 723l,PAW
725,49.641100,-113.358000,Altalink 725l Ft Mcleod,PAW
743,53.146500,-116.968400,Altalink 743l,PAW
753,50.599300,-113.714600,Altalink 753l,PAW
763,50.106500,-112.118300,Altalink 763l Vauxhall,PAW
777,50.786200,-115.160800,Altalink 777l,PAW
799,53.919100,-115.172300,Altalink 799l,PAW
84L,51.077500,-115.393000,Altalink 84l,PAW
863,49.422500,-112.898600,Altalink 863l Magrath,PAW
876,50.602700,-113.027600,Altalink 876l,PAW
879,50.178800,-110.481400,Altalink 879l,PAW
ABEE,54.277300,-112.965400,Abee Agdm,PAW
ADA,59.160600,-118.329500,Adair Auto,PAW
AKA,49.033300,-114.050000,Akamina 2,PAW
ALA,56.160800,-111.719800,Algar Auto,PAW
AMA,59.176500,-119.455900,Amber Auto,PAW
ANA,53.551300,-116.503100,Ansell Auto,PAW
AOA,54.780200,-112.824800,Atmore Agdm,PAW
ASA,54.410400,-114.769200,Fort Assiniboine Auto,PAW
ATHA,54.634800,-113.382100,Athabasca Agcm,PAW
AWA,54.089800,-119.798800,Antler West Auto,PAW
B1,50.414700,-114.726400,Highwood Auto,PAW
B3,51.654700,-115.361700,Yaha Tinda Auto,PAW
B4,50.925800,-115.124000,Kananaskis Boundary Auto,PAW
B5,50.713600,-115.119200,Peter Lougheed Pp Auto,PAW
B7,50.905000,-114.691100,Elbow Auto,PAW
B8,51.574200,-114.855300,North Ghost Auto,PAW
BARN,49.801700,-112.302000,Barnwell Agdm,PAW
BARR,54.100000,-114.450000,Barrhead Cs,PAW
BCA,58.195200,-118.218500,Basset Auto,PAW
BDA,54.812700,-118.915800,Bald Mountain Auto,PAW
BDAM,54.177200,-110.322800,Beaverdam AGCM,PAW
BDIA,50.706800,-114.152000,Black Diamond Agcm,PAW
BEA,54.090400,-117.401300,Berland Auto,PAW
BHA,51.705100,-115.224700,Blue Hill Auto,PAW
BIA,57.694600,-111.826100,Birch Mountain Auto,PAW
BNA,57.942800,-112.397600,Buckton Auto,PAW
BRA,57.167700,-117.664000,Battle River Auto,PAW
BROO,50.550000,-111.850000,Brooks,PAW
BSA,57.111000,-116.509600,Bison Lake Auto,PAW
BTA,52.774300,-116.331300,Blackstone Auto,PAW
BZA,53.038600,-115.435800,Brazeau Auto,PAW
C1,49.879300,-114.382700,Livingston Gap Auto,PAW
C2,49.393600,-114.340800,Castle Auto,PAW
C3,49.029300,-113.595100,Poll Haven Auto,PAW
C4,49.608600,-114.451400,Blairmore Ranger Station Auto,PAW
C5,49.635600,-110.329600,Cypress Hills Ipp Auto,PAW
CAA,57.111700,-118.333300,Chinchaga Auto,PAW
CARR,53.623100,-115.893800,Carrot Creek AGCM,PAW
CCA,53.445800,-115.866100,Carrot Creek Auto,PAW
CFA,59.257600,-110.804600,Cambrian Auto,PAW
CHAT,56.595800,-119.406100,Clear Hills Temp,TAW
CLA,50.180300,-114.182800,Chain Lakes Auto,PAW
CLAK,51.023700,-111.222000,Cabin Lake Agcm,PAW
CMA,54.941100,-114.040000,Chisholm Auto,PAW
CNA,51.113000,-115.369900,Canmore Auto,PAW
CONS,51.937100,-110.713000,Consort Agdm,PAW
CPA,55.953400,-110.497200,Cowpar Lake Auto,PAW
CRA,55.588400,-111.849600,Christina Auto,PAW
CUA,56.303500,-116.430200,Cadotte Auto,PAW
CXA,56.320300,-119.747900,Cleardale Agdm,PAW
CYA,56.949300,-113.490900,Chipewyan Lakes Auto,PAW
DEV,53.202400,-118.021000,Devona,PAW
DGA,56.964400,-119.526400,Doig Auto,PAW
DHA,52.621500,-115.093400,Diamond Hills Auto,PAW
DLA,54.682500,-113.941500,Duck Lake Agcm,PAW
DMA,54.913400,-115.162100,Deer Mountain Auto,PAW
DWA,56.715400,-117.543500,Deadwood Agcm,PAW
E1,53.861300,-117.559500,Wildhay Auto,PAW
E5,53.916500,-118.866600,Grande Cache,PAW
E7,53.379900,-117.701200,Entrance Auto,PAW
EAA,54.456900,-116.440900,Eagle Auto,PAW
ECA,54.791600,-118.234800,Economy Creek Auto,PAW
EDA,57.849700,-113.257800,Edra Auto,PAW
EDGE,52.777800,-110.433000,Edgerton Agcm,PAW
EHA,55.319000,-116.197000,Enilda Auto,PAW
ELA,57.206100,-112.313300,Ells River Auto,PAW
ELKI,53.683300,-112.866700,Elk Island National Park,PAW
EUA,56.509400,-118.844400,Eureka River Agcm,PAW
EVBR,53.638100,-115.062400,Evansburg 2 AGCM,PAW
F1,57.650900,-114.527300,Picadelly Auto,PAW
F2,59.211500,-117.063000,Ponderosa Auto,PAW
F3,58.034700,-114.141400,Lambert Auto,PAW
F4,59.431100,-114.902700,Whitesands Auto,PAW
F5,59.912000,-118.963100,Bistcho Lake Auto,PAW
FGA,58.686000,-114.994700,Foggy Mountain Auto,PAW
FLA,58.610900,-117.160000,Footner Lake Auto,PAW
FLEE,52.041100,-111.813000,Fleet Agcm,PAW
FNA,53.270100,-117.199800,Felton Creek Auto,PAW
FOA,57.780300,-119.501500,Fontas Auto,PAW
FPA,54.465100,-118.220300,Frying Pan Auto,PAW
FSA,53.492000,-117.647000,Fish Creek Auto,PAW
FTA,55.145700,-114.815300,Flat Top Auto,PAW
FTMC,49.785800,-113.380000,Fort Mcleod Agcm,PAW
G1,54.175000,-119.059200,Kakwa Auto,PAW
G2,54.592800,-120.009200,Mistanusk Auto,PAW
GFA,52.887900,-116.991800,Grave Flats Auto,PAW
GHA,51.205300,-114.771200,Ghost Lake Auto,PAW
GLA,56.617500,-110.494400,Gordon Lake Auto,PAW
GLEN,53.832600,-114.539000,Glenevis AGCM,PAW
GMA,54.750600,-116.033200,Goose Mountain Auto,PAW
GTA,55.901200,-115.760000,Gift Lake Auto,PAW
HAND,51.452500,-112.135000,Hand Hills Agcm,PAW
HCT,56.750000,-117.243800,Hutton Creek Temp,TAW
HDA,53.800000,-118.450000,Hendrickson Creek Cs,PAW
HHA,57.656800,-117.423200,Hawk Hills Auto,PAW
HKA,57.333900,-118.959300,Hotchkiss Auto,PAW
HLA,54.915500,-111.339300,Heart Lake Auto,PAW
HMA,55.047300,-115.601600,House Mountain Auto,PAW
HOA,54.186000,-110.921700,Hoselaw Agcm,PAW
HPA,55.395800,-116.479500,High Prairie Agdm,PAW
HRA,56.518700,-111.795700,Horse River Auto,PAW
HUA,53.987700,-118.185900,Huckleberry Auto,PAW
HZA,56.529100,-117.933600,Hazel Agcm,PAW
IMA,54.466600,-115.572200,Imperial Auto,PAW
JCA,55.912900,-117.119800,Jean Cote Agcm,PAW
JEA,57.497400,-113.883500,Jean Lake Auto,PAW
JOA,57.570000,-110.325100,Johnson Lake Auto,PAW
KAA,54.420900,-118.982200,Kakwa Tower Auto,PAW
KBA,55.358500,-110.645000,Kirby Lake Auto,PAW
KEA,57.640400,-118.352700,Keg Auto,PAW
KILL,52.847500,-111.872000,Killam Agdm,PAW
KINI,54.563300,-112.981200,Kinikinik AGCM,PAW
KMA,55.994000,-116.606600,Kimiwan Auto,PAW
L1,56.114400,-112.544700,Bovine Creek Auto,PAW
L2A,55.070000,-110.710000,Foster Creek Auto,PAW
L3,56.768300,-112.487800,Dunkirk Auto,PAW
L5,58.309400,-110.282200,Keane Auto,PAW
LEED,52.550000,-114.400000,Leedale Agdm,PAW
LEGA,54.003000,-113.474400,Legal Agcm,PAW
LGA,57.450900,-112.875100,Legend Auto,PAW
LIND,53.943000,-110.578900,Lindberg Agdm,PAW
LLS,51.433300,-116.217000,Lake Louise,PAW
LMA,55.689700,-111.284700,Leismer Auto,PAW
LOA,53.031100,-116.662000,Lovett Auto,PAW
LODG,49.457700,-110.341000,Lodge Creek Agcm,PAW
MBA,53.861300,-116.665400,Mayberne Auto,PAW
MDA,52.816600,-114.874300,Medicine Lake,PAW
MHAT,50.033300,-110.717000,Medicine Hat Rcs,PAW
MLA,53.548800,-116.967200,Medicine Lodge Auto,PAW
MOA,53.532700,-118.023200,Moberly Auto,PAW
MPA,52.910600,-117.276800,Mountain Park Auto,PAW
